replicate_id,motion_seed,fault_seed,scenario_id,method,requests,accepted,true_accepts,false_accepts,true_rejects,false_rejects,enclosures_tested,containment_failures
2,16320440670712453270,4755352453512013436,2,2,100,99,99,0,0,1,297,0
3,11593834175221393723,13171282298473496477,2,0,100,100,100,0,0,0,0,0
3,11593834175221393723,13171282298473496477,2,1,100,100,100,0,0,0,0,0
3,11593834175221393723,13171282298473496477,2,2,100,99,99,0,0,1,297,0
4,3347813090986583384,9965028999047352386,2,0,100,99,99,0,0,1,0,0
4,3347813090986583384,9965028999047352386,2,1,100,99,99,0,0,1,0,0
4,3347813090986583384,9965028999047352386,2,2,100,99,99,0,0,1,297,0
5,16534674281161132573,2953394961301823395,2,0,100,99,99,0,0,1,0,0
5,16534674281161132573,2953394961301823395,2,1,100,99,99,0,0,1,0,0
5,16534674281161132573,2953394961301823395,2,2,100,99,99,0,0,1,297,0
6,1869434951182979682,18353972560663463648,2,0,100,99,99,0,0,1,0,0
6,1869434951182979682,18353972560663463648,2,1,100,99,99,0,0,1,0,0
6,1869434951182979682,18353972560663463648,2,2,100,99,99,0,0,1,297,0
7,15165218386447993671,15406333975234513569,2,0,100,99,99,0,0,1,0,0
7,15165218386447993671,15406333975234513569,2,1,100,99,99,0,0,1,0,0
7,15165218386447993671,15406333975234513569,2,2,100,99,99,0,0,1,297,0
8,925738743642114676,18219269889933776678,2,0,100,99,99,0,0,1,0,0
8,925738743642114676,18219269889933776678,2,1,100,99,99,0,0,1,0,0
8,925738743642114676,18219269889933776678,2,2,100,99,99,0,0,1,297,0
9,18424644545096847385,2195457525055949063,2,0,100,100,100,0,0,0,0,0
9,18424644545096847385,2195457525055949063,2,1,100,100,100,0,0,0,0,0
9,18424644545096847385,2195457525055949063,2,2,100,99,99,0,0,1,297,0
10,1197137687119922334,2344006051952666852,2,0,100,99,99,0,0,1,0,0
10,1197137687119922334,2344006051952666852,2,1,100,99,99,0,0,1,0,0
10,1197137687119922334,2344006051952666852,2,2,100,99,99,0,0,1,297,0
11,12889497012818321507,48287458364751717,2,0,100,99,99,0,0,1,0,0
11,12889497012818321507,48287458364751717,2,1,100,99,99,0,0,1,0,0
11,12889497012818321507,48287458364751717,2,2,100,99,99,0,0,1,297,0
12,564723016766813184,4947808007172291658,2,0,100,99,99,0,0,1,0,0
12,564723016766813184,4947808007172291658,2,1,100,99,99,0,0,1,0,0
12,564723016766813184,4947808007172291658,2,2,100,99,99,0,0,1,297,0
13,1139813661928537189,369035765656925963,2,0,100,99,99,0,0,1,0,0
13,1139813661928537189,369035765656925963,2,1,100,99,99,0,0,1,0,0
13,1139813661928537189,369035765656925963,2,2,100,99,99,0,0,1,297,0
14,11109762063541617482,6586316184321760232,2,0,100,100,100,0,0,0,0,0
14,11109762063541617482,6586316184321760232,2,1,100,100,100,0,0,0,0,0
14,11109762063541617482,6586316184321760232,2,2,100,99,99,0,0,1,297,0
15,13619859224420957711,16133319381105630281,2,0,100,99,99,0,0,1,0,0
15,13619859224420957711,16133319381105630281,2,1,100,99,99,0,0,1,0,0
15,13619859224420957711,16133319381105630281,2,2,100,99,99,0,0,1,297,0
16,17159192876407639708,18400911901820514094,2,0,100,99,99,0,0,1,0,0
16,17159192876407639708,18400911901820514094,2,1,100,99,99,0,0,1,0,0
16,17159192876407639708,18400911901820514094,2,2,100,99,99,0,0,1,297,0
17,16123066810707161761,3330140523633200495,2,0,100,99,99,0,0,1,0,0
17,16123066810707161761,3330140523633200495,2,1,100,99,99,0,0,1,0,0
17,16123066810707161761,3330140523633200495,2,2,100,99,99,0,0,1,297,0
18,17255731612241714630,17512625343450968556,2,0,100,99,99,0,0,1,0,0
18,17255731612241714630,17512625343450968556,2,1,100,99,99,0,0,1,0,0
18,17255731612241714630,17512625343450968556,2,2,100,99,99,0,0,1,297,0
19,13883523294833848875,11430871421260215309,2,0,100,99,99,0,0,1,0,0
